Seq. For Order,Observation Class,Domain Prefix,Variable Name (minus domain prefix),,Variable Label,Variable Name,Controlled Terms or Format,Role,CDISC Notes (for domains) Description (for General Classes),Core
35,Findings,EG,TPTREF,,Time Point Reference,EGTPTREF,,Timing,"Name of the fixed reference point referred to by EGELTM, EGTPTNUM, and EGTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
36,Findings,EG,RFTDTC,,Date/Time of Reference Time Point,EGRFTDTC,ISO 8601,Timing,"Date/time of the reference time point, EGTPTREF.",Perm
1,Findings,IE,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,IE,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,IE,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,IE,SEQ,,Sequence Number,IESEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,IE,SPID,,Sponsor-Defined Identifier,IESPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Inclusion or Exclusion criteria number from CRF.,Perm
6,Findings,IE,TESTCD,,Inclusion/Exclusion Criterion Short Name,IETESTCD,,Topic,"Short name of the criterion described in IETEST. The value in IETESTCD cannot be longer than 8 characters, nor can it start with a number (e.g.'1TEST'). IETESTCD cannot contain characters other than letters, numbers, or underscores. Examples: IN01, EX01.",Req
7,Findings,IE,TEST,,Inclusion/Exclusion Criterion,IETEST,,Synonym Qualifier,Verbatim description of the inclusion or exclusion criterion that was the exception for the subject within the study. IETEST cannot be longer than 200 characters.,Req
8,Findings,IE,CAT,,Inclusion/Exclusion Category,IECAT,IECAT,Grouping Qualifier,Used to define a category of related records across subjects.,Req
9,Findings,IE,SCAT,,Inclusion/Exclusion Subcategory,IESCAT,,Grouping Qualifier,"A further categorization of the exception criterion. Can be used to distinguish criteria for a sub-study or for to categorize as a major or minor exceptions. Examples: MAJOR, MINOR.",Perm
10,Findings,IE,ORRES,,I/E Criterion Original Result,IEORRES,NY,Result Qualifier,Original response to Inclusion/Exclusion Criterion question. Inclusion or Exclusion criterion met?,Req
11,Findings,IE,STRESC,,I/E Criterion Result in Std Format,IESTRESC,NY,Result Qualifier,Response to Inclusion/Exclusion criterion result in standard format.,Req
12,Findings,IE,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Perm
13,Findings,IE,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
14,Findings,IE,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
15,Findings,IE,DTC,,Date/Time of Collection,IEDTC,ISO 8601,Timing,,Perm
16,Findings,IE,DY,,Study Day of Collection,IEDY,,Timing,"1. Study day of collection of the inclusion/exclusion exceptions, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.",Perm
1,Findings,LB,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,LB,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,LB,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,LB,SEQ,,Sequence Number,LBSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,LB,GRPID,,Group ID,LBGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Findings,LB,REFID,,Specimen ID,LBREFID,,Identifier,Internal or external specimen identifier. Example: Specimen ID.,Perm
7,Findings,LB,SPID,,Sponsor-Defined Identifier,LBSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on the Lab page.,Perm
8,Findings,LB,TESTCD,,Lab Test or Examination Short Name,LBTESTCD,LBTESTCD,Topic,"Short name of the measurement, test, or examination described in LBTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in LBTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g.'1TEST'). LBTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: ALT, LDH.",Req
9,Findings,LB,TEST,,Lab Test or Examination Name,LBTEST,LBTEST,Synonym Qualifier,"Verbatim name of the test or examination used to obtain the measurement or finding. Note any test normally performed by a clinical laboratory is considered a lab test. The value in LBTEST cannot be longer than 40 characters. Examples: Alanine Aminotransferase, Lactate Dehydrogenase.",Req
10,Findings,LB,CAT,,Category for Lab Test,LBCAT,,Grouping Qualifier,"Used to define a category of related records across subjects. Examples: such as HEMATOLOGY, URINALYSIS, CHEMISTRY.",Exp
11,Findings,LB,SCAT,,Subcategory for Lab Test,LBSCAT,,Grouping Qualifier,"A further categorization of a test category such as DIFFERENTIAL, COAGULATON, LIVER FUNCTION, ELECTROLYTES.",Perm
12,Findings,LB,ORRES,,Result or Finding in Original Units,LBORRES,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
13,Findings,LB,ORRESU,,Original Units,LBORRESU,UNIT,Variable Qualifier,Original units in which the data were collected. The unit for LBORRES. Example: g/L.,Exp
14,Findings,LB,ORNRLO,,Reference Range Lower Limit in Orig Unit,LBORNRLO,,Variable Qualifier,Lower end of reference range for continuous measurements in original units. Should be populated only for continuous results.,Exp
15,Findings,LB,ORNRHI,,Reference Range Upper Limit in Orig Unit,LBORNRHI,,Variable Qualifier,Upper end of reference range for continuous measurements in original units. Should be populated only for continuous results.,Exp
16,Findings,LB,STRESC,,Character Result/Finding in Std Format,LBSTRESC,,Result Qualifier,"Contains the result value for all findings, copied or derived from LBORRES in a standard format or standard units. LBSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in LBSTRESN. For example, if a test has results 'NONE', 'NEG', and 'NEGATIVE' in LBORRES and these results effectively have the same meaning, they could be represented in standard format in LBSTRESC as 'NEGATIVE'. For other examples, see general assumptions.",Exp
17,Findings,LB,STRESN,,Numeric Result/Finding in Standard Units,LBSTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from LBSTRESC. LBSTRESN should store all numeric test results or findings.,Exp
18,Findings,LB,STRESU,,Standard Units,LBSTRESU,UNIT,Variable Qualifier,Standardized unit used for LBSTRESC or LBSTRESN.,Exp
19,Findings,LB,STNRLO,,Reference Range Lower Limit-Std Units,LBSTNRLO,,Variable Qualifier,Lower end of reference range for continuous measurements for LBSTRESC/LBSTRESN in standardized units. Should be populated only for continuous results.,Exp
20,Findings,LB,STNRHI,,Reference Range Upper Limit-Std Units,LBSTNRHI,,Variable Qualifier,Upper end of reference range for continuous measurements in standardized units. Should be populated only for continuous results.,Exp
21,Findings,LB,STNRC,,Reference Range for Char Rslt-Std Units,LBSTNRC,,Variable Qualifier,"For normal range values that are character in ordinal scale or if categorical ranges were supplied (e.g., '-1 to +1', 'NEGATIVE TO TRACE').",Perm
22,Findings,LB,NRIND,,Reference Range Indicator,LBNRIND,,Variable Qualifier,"1. Indicates where the value falls with respect to reference range defined by LBORNRLO and LBORNRHI, LBSTNRLO and LBSTNRHI, or by LBSTNRC. Examples: NORMAL, ABNORMAL, HIGH, LOW. 2. Sponsors should specify in the study metadata (Comments column in the define.xml) whether LBNRIND refers to the original or standard reference ranges and results. 3. Should not be used to indicate clinical significance.",Exp
23,Findings,LB,STAT,,Completion Status,LBSTAT,ND,Record Qualifier,Used to indicate exam not done. Should be null if a result exists in LBORRES.,Perm
24,Findings,LB,REASND,,Reason Test Not Done,LBREASND,,Record Qualifier,"Describes why a measurement or test was not performed such as BROKEN EQUIPMENT, SUBJECT REFUSED, or SPECIMEN LOST. Used in conjunction with LBSTAT when value is NOT DONE.",Perm
25,Findings,LB,NAM,,Vendor Name,LBNAM,,Record Qualifier,The name or identifier of the laboratory that performed the test.,Perm
26,Findings,LB,LOINC,,LOINC Code,LBLOINC,,Synonym Qualifier,1. Dictionary-derived LOINC Code for LBTEST. 2. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes,Perm
27,Findings,LB,SPEC,,Specimen Type,LBSPEC,,Record Qualifier,"Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE.",Perm
28,Findings,LB,SPCCND,,Specimen Condition,LBSPCCND,,Record Qualifier,"Free or standardized text describing the condition of the specimen e.g. HEMOLYZED, ICTERIC, LIPEMIC etc.",Perm
29,Findings,LB,METHOD,,Method of Test or Examination,LBMETHOD,,Record Qualifier,"Method of the test or examination. Examples: EIA (Enzyme Immunoassay), ELECTROPHORESIS, DIPSTICK",Perm
30,Findings,LB,BLFL,,Baseline Flag,LBBLFL,NY,Record Qualifier,Indicator used to identify a baseline value. The value should be 'Y' or null.,Exp
31,Findings,LB,FAST,,Fasting Status,LBFAST,NY,Record Qualifier,"Indicator used to identify fasting status such as Y, N, U, or null if not relevant.",Perm
32,Findings,LB,DRVFL,,Derived Flag,LBDRVFL,NY,Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records, or do not come from the CRF, or are not as originally received or collected are examples of records that might be derived for the submission datasets. If LBDRVFL=Y, then LBORRES may be null, with LBSTRESC, and (if numeric) LBSTRESN having the derived value.",Perm
33,Findings,LB,TOX,,Toxicity,LBTOX,,Variable Qualifier,"Description of toxicity quantified by LBTOXGR. The sponsor is expected to provide the name of the scale and version used to map the terms, utilizing the define.xml external codelist attributes.",Perm
34,Findings,LB,TOXGR,,Standard Toxicity Grade,LBTOXGR,,Variable Qualifier,"Records toxicity grade value using a standard toxicity scale (such as the NCI CTCAE). If value is from a numeric scale, represent only the number (e.g., '2' and not 'Grade 2').",Perm
35,Findings,LB,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
36,Findings,LB,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
37,Findings,LB,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
38,Findings,LB,DTC,,Date/Time of Specimen Collection,LBDTC,ISO 8601,Timing,,Exp
39,Findings,LB,ENDTC,,End Date/Time of Specimen Collection,LBENDTC,ISO 8601,Timing,,Perm
40,Findings,LB,DY,,Study Day of Specimen Collection,LBDY,,Timing,"1. Study day of specimen collection, measured as integer days.  2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.",Perm
41,Findings,LB,TPT,,Planned Time Point Name,LBTPT,,Timing,"1. Text Description of time when specimen should be taken. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See LBTPTNUM and LBTPTREF. Examples: Start, 5 min post.",Perm
42,Findings,LB,TPTNUM,,Planned Time Point Number,LBTPTNUM,,Timing,Numerical version of LBTPT to aid in sorting.,Perm
43,Findings,LB,ELTM,,Planned Elapsed Time from Time Point Ref,LBELTM,ISO 8601,Timing,"Planned Elapsed time (in ISO 8601) relative to a planned fixed reference (LBTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: '-PT15M' to represent the period of 15 minutes prior to the reference point indicated by LBTPTREF, or 'PT8H' to represent the period of 8 hours after the reference point indicated by LBTPTREF.",Perm
44,Findings,LB,TPTREF,,Time Point Reference,LBTPTREF,,Timing,"Name of the fixed reference point referred to by LBELTM, LBTPTNUM, and LBTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
45,Findings,LB,RFTDTC,,Date/Time of Reference Time Point,LBRFTDTC,ISO 8601,Timing,"Date/time of the reference time point, LBTPTREF.",Perm
1,Findings,PE,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,PE,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,PE,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,PE,SEQ,,Sequence Number,PESEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,PE,GRPID,,Group ID,PEGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Findings,PE,SPID,,Sponsor-Defined Identifier,PESPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF.,Perm
7,Findings,PE,TESTCD,,Body System Examined Short Name,PETESTCD,,Topic,"Short name of the measurement, test, or examination described in PETEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PETESTCD cannot be longer than 8 characters, nor can it start with a number (e.g.'1TEST'). PETESTCD cannot contain characters other than letters, numbers, or underscores.",Req
8,Findings,PE,TEST,,Body System Examined,PETEST,,Synonym Qualifier,"Verbatim term part of the body examined. The value in PETEST cannot be longer than 40 characters. Examples: Cardiovascular and Respiratory. For subject-level exam, value should be 'Physical Examination'.",Req
9,Findings,PE,MODIFY,,Modified Reported Term,PEMODIFY,,Synonym Qualifier,"If PEORRES is modified as part of a defined procedure, then PEMODIFY will contain the modified text.",Perm
10,Findings,PE,CAT,,Category for Examination,PECAT,,Grouping Qualifier,"Used to define a category of examination. Examples: GENERAL, NEUROLOGICAL.",Perm
11,Findings,PE,SCAT,,Subcategory for Examination,PESCAT,,Grouping Qualifier,A further categorization of the examination. Used if needed to add further detail to PECAT.,Perm
12,Findings,PE,BODSYS,,Body System or Organ Class,PEBODSYS,,Result Qualifier,"1. Body system or organ class ( MedDRA SOC) that is involved in a measurement from the standard hierarchy (e.g., MedDRA).",Perm
13,Findings,PE,ORRES,,Verbatim Examination Finding,PEORRES,,Result Qualifier,"Text description of any abnormal findings. If the examination was completed and there were no abnormal findings, the value should be NORMAL. If the examination was not performed on a particular body system, or at the subject level, then the value should be null, and NOT DONE should appear in PESTAT.",Exp
14,Findings,PE,ORRESU,,Original Units,PEORRESU,UNIT,Variable Qualifier,Original units in which the data were collected. The unit for PEORRES.,Perm
15,Findings,PE,STRESC,,Character Result/Finding in Std Format,PESTRESC,,Result Qualifier,"If there are findings for a body system, then either the dictionary preferred term (if findings are coded using a dictionary) or PEORRES (if findings are not coded) should appear here. If PEORRES is null, PESTRESC should be null",Exp
16,Findings,PE,STAT,,Completion Status,PESTAT,ND,Record Qualifier,Used to indicate exam not done. Should be null if a result exists in PEORRES.,Perm
17,Findings,PE,REASND,,Reason Not Examined,PEREASND,,Record Qualifier,Describes why an examination was not performed or why a body system was not examined. Example: SUBJECT REFUSED. Used in conjunction with STAT when value is NOT DONE.,Perm
18,Findings,PE,LOC,,Location of Physical Exam Finding,PELOC,LOC,Record Qualifier,Can be used to specify where a physical exam finding occurred. Example: LEFT ARM for skin rash.,Perm
19,Findings,PE,METHOD,,Method of Test or Examination,PEMETHOD,,Record Qualifier,"Method of the test or examination. Examples: XRAY, MRI.",Perm
20,Findings,PE,EVAL,,Evaluator,PEEVAL,,Record Qualifier,"Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Should be null for records that contain collected or derived data. Examples: INVESTIGATOR, ADJUDICATION COMMITTEE, VENDOR.",Perm
21,Findings,PE,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
22,Findings,PE,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
23,Findings,PE,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
24,Findings,PE,DTC,,Date/Time of Examination,PEDTC,ISO 8601,Timing,,Exp
25,Findings,PE,DY,,Study Day of Examination,PEDY,,Timing,"1. Study day of physical exam, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics.",Perm
1,Findings,QS,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,QS,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,QS,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,QS,SEQ,,Sequence Number,QSSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,QS,GRPID,,Group ID,QSGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Findings,QS,SPID,,Sponsor-Defined Identifier,QSSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Question number on a questionnaire.,Perm
7,Findings,QS,TESTCD,,Question Short Name,QSTESTCD,,Topic,"Topic variable for QS. Short name for the value in QSTEST, which can be used as a column name when converting the dataset from a vertical format to a horizontal format. The value in QSTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g.'1TEST'). QSTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: COG01, GH1, PF1.",Req
8,Findings,QS,TEST,,Question Name,QSTEST,,Synonym Qualifier,"Verbatim name of the question or group of questions used to obtain the measurement or finding. The value in QSTEST cannot be longer than 40 characters. Example: In General, How is Your Health?",Req
9,Findings,QS,CAT,,Category of Question,QSCAT,,Grouping Qualifier,"Used to define a category of related records that will be meaningful to the Reviewer. Examples: HAMILTON DEPRESSION SCALE, SF36, ADAS.",Req
10,Findings,QS,SCAT,,Subcategory for Question,QSSCAT,,Grouping Qualifier,"A further categorization of the questions within the category. Examples: MENTAL HEALTH DOMAIN, DEPRESSION DOMAIN, WORD RECALL.",Perm
11,Findings,QS,ORRES,,Finding in Original Units,QSORRES,,Result Qualifier,"Finding as originally received or collected (e.g. RARELY, SOMETIMES). When sponsors apply codelist to indicate the code values are statistically meaningful standardized scores, which are defined by sponsors or by valid methodologies such as SF36 questionnaires, QSORRES will contain the decode format, and QSSTRESC and QSSTRESN may contain the standardized code values or scores.",Exp
12,Findings,QS,ORRESU,,Original Units,QSORRESU,UNIT,Variable Qualifier,"Original units in which the data were collected. The unit for QSORRES, such as minutes or seconds or the units associated with a visual analog scale.",Perm
13,Findings,QS,STRESC,,Character Result/Finding in Std Format,QSSTRESC,,Result Qualifier,"Contains the finding for all questions or sub-scores, copied or derived from QSORRES in a standard format or standard units. QSSTRESC should store all findings in character format; if findings are numeric, they should also be stored in numeric format in QSSTRESN. If question scores are derived from the original finding, then the standard format is the score. Examples: 0, 1. When sponsors apply codelist to indicate the code values are statistically meaningful standardized scores, which are defined by sponsors or by valid methodologies such as SF36 questionnaires, QSORRES will contain the decode format, and QSSTRESC and QSSTRESN may contain the standardized code values or scores.",Exp
14,Findings,QS,STRESN,,Numeric Finding in Standard Units,QSSTRESN,,Result Qualifier,Used for continuous or numeric findings in standard format; copied in numeric format from QSSTRESC. QSSTRESN should store all numeric results or findings.,Perm
15,Findings,QS,STRESU,,Standard Units,QSSTRESU,UNIT,Variable Qualifier,Standardized unit used for QSSTRESC or QSSTRESN.,Perm
16,Findings,QS,STAT,,Completion Status,QSSTAT,ND,Record Qualifier,Used to indicate a questionnaire or response to a questionnaire was not done. Should be null if a result exists in QSORRES.,Perm
17,Findings,QS,REASND,,Reason Not Performed,QSREASND,,Record Qualifier,Describes why a question was not answered. Used in conjunction with QSSTAT when value is NOT DONE. Example: SUBJECT REFUSED.,Perm
18,Findings,QS,BLFL,,Baseline Flag,QSBLFL,NY,Record Qualifier,Indicator used to identify a baseline value. The value should be 'Y' or null.,Exp
19,Findings,QS,DRVFL,,Derived Flag,QSDRVFL,NY,Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records or questionnaire sub-scores that do not come from the CRF are examples of records that would be derived for the submission datasets. If QSDRVFL=Y, then QSORRES may be null with QSSTRESC and (if numeric) QSSTRESN having the derived value.",Perm
20,Findings,QS,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
21,Findings,QS,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
22,Findings,QS,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
23,Findings,QS,DTC,,Date/Time of Finding,QSDTC,ISO 8601,Timing,Date of questionnaire.,Exp
24,Findings,QS,DY,,Study Day of Finding,QSDY,,Timing,"1. Study day of finding collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics.",Perm
25,Findings,QS,TPT,,Planned Time Point Name,QSTPT,,Timing,"1. Text Description of time when questionnaire should be administered. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See QSTPTNUM and QSTPTREF.",Perm
26,Findings,QS,TPTNUM,,Planned Time Point Number,QSTPTNUM,,Timing,Numerical version of QSTPT to aid in sorting.,Perm
27,Findings,QS,ELTM,,Planned Elapsed Time from Time Point Ref,QSELTM,ISO 8601,Timing,"Planned Elapsed time (in ISO 8601) relative to a planned fixed reference (QSTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: '-PT15M' to represent the period of 15 minutes prior to the reference point indicated by QSTPTREF, or 'PT8H' to represent the period of 8 hours after the reference point indicated by QSTPTREF.",Perm
28,Findings,QS,TPTREF,,Time Point Reference,QSTPTREF,,Timing,"Name of the fixed reference point referred to by QSELTM, QSTPTNUM, and QSTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
29,Findings,QS,RFTDTC,,Date/Time of Reference Time Point,QSRFTDTC,ISO 8601,Timing,"Date/time of the reference time point, LBTPTREF.",Perm
30,Findings,QS,EVLINT,,Evaluation Interval,QSEVLINT,ISO 8601,Timing,Evaluation Interval associated with a QSTEST question represented in ISO 8601 character format. Example: '-P2Y' to represent an interval of 2 years in the question 'Have you experienced any episodes in the past 2 years?',Perm
1,Findings,SC,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,SC,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,SC,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,SC,SEQ,,Sequence Number,SCSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,SC,GRPID,,Group ID,SCGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Findings,SC,SPID,,Sponsor-Defined Identifier,SCSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database.,Perm
7,Findings,SC,TESTCD,,Subject Characteristic Short Name,SCTESTCD,SCTEST,Topic,"Short name of the measurement, test, or examination described in SCTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in SCTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g.'1TEST'). SCTESTCD cannot contain characters other than letters, numbers, or underscores. Example: SUBJINIT, EYECD.",Req
8,Findings,SC,TEST,,Subject Characteristic,SCTEST,,Synonym Qualifier,"Verbatim name of the test or examination used to obtain the measurement or finding. The value in SCTEST cannot be longer than 40 characters. Examples: Subject Initials, Eye Color.",Req
9,Findings,SC,CAT,,Category for Subject Characteristic,SCCAT,,Grouping Qualifier,Used to define a category of related records.,Perm
10,Findings,SC,SCAT,,Subcategory for Subject Characteristic,SCSCAT,,Grouping Qualifier,A further categorization of the subject characteristic.,Perm
11,Findings,SC,ORRES,,Result or Finding in Original Units,SCORRES,,Result Qualifier,Result of the subject characteristic as originally received or collected.,Exp
12,Findings,SC,ORRESU,,Original Units,SCORRESU,UNIT,Variable Qualifier,Original Unit in which the data were collected. The unit for SCORRES.,Perm
13,Findings,SC,STRESC,,Character Result/Finding in Std Format,SCSTRESC,,Result Qualifier,"Contains the result value for all findings, copied or derived from SCORRES in a standard format or standard units. SCSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in SCSTRESN. For example, if a test has results 'NONE', 'NEG', and 'NEGATIVE' in SCORRES and these results effectively have the same meaning, they could be represented in standard format in SCSTRESC as 'NEGATIVE'.",Exp
14,Findings,SC,STRESN,,Numeric Result/Finding in Standard Units,SCSTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from SCSTRESC. SCSTRESN should store all numeric test results or findings.,Perm
15,Findings,SC,STRESU,,Standard Units,SCSTRESU,UNIT,Variable Qualifier,Standardized unit used for SCSTRESC or SCSTRESN.,Perm
16,Findings,SC,STAT,,Completion Status,SCSTAT,ND,Record Qualifier,Used to indicate that the measurement was not done. Should be null if a result exists in SCORRES.,Perm
17,Findings,SC,REASND,,Reason Not Performed,SCREASND,,Record Qualifier,Describes why the observation has no result. Example: subject refused. Used in conjunction with SCSTAT when value is NOT DONE.,Perm
18,Findings,SC,DTC,,Date/Time of Collection,SCDTC,ISO 8601,Timing,,Perm
19,Findings,SC,DY,,Study Day of Examination,SCDY,,Timing,"1. Study day of collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics.",Perm
1,Findings,VS,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,VS,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,VS,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,VS,SEQ,,Sequence Number,VSSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,VS,GRPID,,Group ID,VSGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Findings,VS,SPID,,Sponsor-Defined Identifier,VSSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database.,Perm
7,Findings,VS,TESTCD,,Vital Signs Test Short Name,VSTESTCD,VSTESTCD,Topic,"Short name of the measurement, test, or examination described in VSTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in VSTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g.'1TEST'). VSTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: SYSBP, DIABP, BMI.",Req
8,Findings,VS,TEST,,Vital Signs Test Name,VSTEST,VSTEST,Synonym Qualifier,"Verbatim name of the test or examination used to obtain the measurement or finding. The value in VSTEST cannot be longer than 40 characters. Examples: Systolic Blood Pressure, Diastolic Blood Pressure, Body Mass Index.",Req
9,Findings,VS,CAT,,Category for Vital Signs,VSCAT,,Grouping Qualifier,Used to define a category of related records.,Perm
10,Findings,VS,SCAT,,Subcategory for Vital Signs,VSSCAT,,Grouping Qualifier,A further categorization of a measurement or examination.,Perm
11,Findings,VS,POS,,Vital Signs Position of Subject,VSPOS,POSITION,Record Qualifier,"Position of the subject during a measurement or examination. Examples: SUPINE, STANDING, SITTING.",Perm
12,Findings,VS,ORRES,,Result or Finding in Original Units,VSORRES,,Result Qualifier,Result of the vital signs measurement as originally received or collected.,Exp
